Model,MAE,MSE,R2
LinearRegression,82657.94605892441,10549721686.160313,0.9146454505137985
RobustRegression,199465.55955429334,61664910393.24955,0.5010881990728173
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.9466217223,10549717660.356375,0.9146454830853386
ElasticNet,99126.80843102591,15081376466.559593,0.8779812271613102
PolynomialRegression,97862.96882261703,15943712231.118742,0.8710043340375472
SGDRegressor,7.913258469271653e+17,6.786117398073251e+35,-5.490438615389024e+24
ANN,199441.6655933735,61509863693.43239,0.5023426341760273
RandomForest,98699.18862177331,15163118690.324266,0.8773198760004937
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,102160.92081000573,15943249530.43311,0.8710080776063108
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
